dialogue_id,company_author,created_at,n_turns,first_customer_msg,weak_label,predicted_intent,escalated_to_dm
204089,NikeSupport,2017-10-03T14:47:07+00:00,3,NRC Feature Request: Support for interval training. 😀,feature_request_or_praise,feature_request_or_praise,False
39592,AmazonHelp,2017-11-01T14:53:08+00:00,2,"Argh, Hey Amazon! WHERE IS MY PACKAGE? Arriving between Nov 1&amp;3 doesn't mean shop Nov. 2 and maybe you'll get it the next day. WTF?",delivery_order_status,delivery_order_status,False
129344,AskLyft,2017-11-24T05:24:49+00:00,2,help me now before I switch back to Uber. Getting the run around for this ride I took literally 15 minutes ago and I can't even dispute it.,other,other,True
567479,NeweggService,2017-12-02T22:18:10+00:00,4,Never buy anything off of newegg using a guest account lol. I did and something went wrong and its taken me a week to fix because I have to keep calling to try and fix the problem,complaint,other,True
500743,AmazonHelp,2017-12-01T19:41:45+00:00,2,i want to purchase 1plus5t in my company. where can I put my gst details to use gst benefits?,other,other,False
464518,AmericanAir,2017-12-01T03:47:13+00:00,2,"better not ruin my Christmas. I swear if I don’t have a pilot to fly me to Maui I don’t know what I’ll do, but there will probably be tears",other,other,False
352294,VirginAtlantic,2017-10-08T12:12:38+00:00,2,"thank you customer relations team, after emailing them they sorted out my issue. Shame customer service  on phone couldn't",feature_request_or_praise,feature_request_or_praise,False
303427,askpanera,2017-10-06T22:00:00+00:00,2,When u order a bread bowl from @116253 and they forget to give it to you 😡😤🙄,delivery_order_status,delivery_order_status,True
87484,UPSHelp,2017-11-30T13:55:47+00:00,2,one of my packages were supposed to be delivered YESTERDAY and there wasn’t any movement all of yesterday,other,delivery_order_status,True
402313,British_Airways,2017-10-09T17:26:53+00:00,2,sat in ATH waiting for the delayed BA633. No apology or explanation - yet another poor show by #BA. My last flight with BA,other,other,False
366994,AppleSupport,2017-10-08T19:10:02+00:00,2,Am I the only one that can’t use their back camera from ios11 or even my flashlight? @115858 @AppleSupport,other,other,True
814587,TacoBellTeam,2017-10-12T03:42:38+00:00,4,I’ve been waiting 20 minutes for my food,other,other,False
74767,AmazonHelp,2017-11-30T10:45:16+00:00,2,@AmazonHelp I need to contact customer support ASAP regarding bad behaviour of a seller.,other,other,False
579527,Delta,2017-12-03T11:01:33+00:00,2,"No more nonstop service from LAX-CVG except a red eye?? What are you people thinking? If I have to connect, you’ve lost a customer. Pls reconsider. You were the only nonstop left...",other,other,False
320976,British_Airways,2017-10-06T20:31:31+00:00,4,I forgot to twit you that your meals in board is the worst @British_Airways,complaint,complaint,False
768998,AmazonHelp,2017-10-11T22:44:11+00:00,7,por favor reponha a blusinha,other,other,False
451950,AmazonHelp,2017-11-30T22:05:20+00:00,2,tf do u expect me to walk around w this seashell necklace on my phone?? @115821 https://t.co/DnU8WrCcC4,other,other,False
615271,AdobeCare,2017-11-22T13:47:01+00:00,3,No reply to DM in over 2 hours. Long lunch or don't care?,other,other,False
647389,AppleSupport,2017-10-05T02:50:07+00:00,2,"The new update is fucking up my phone, fix that shit! 😤😤",other,other,True
253648,comcastcares,2017-10-05T11:21:27+00:00,5,6 hours with no service and counting......how much longer will this “scheduled maintenance” continue? Just south of KC Missouri.,other,other,True
160592,VirginTrains,2017-11-24T18:35:45+00:00,2,Paid for seats but forced to stand on 2 hour train Manchester to London. No room for our luggage on another overbooked train 😡 FUMING @VirginTrains #typical #virgintrains https://t.co/P4CMuivRH6,other,other,False
217623,AlaskaAir,2017-10-04T00:52:36+00:00,2,"S/o to @AlaskaAir for being extra great to Fletch, even after he pooped (twice) in the terminal ✈️ https://t.co/b4uT1VYVgW",other,other,False
395682,Delta,2017-10-09T16:33:15+00:00,2,Any chance delta will respond to my complaint and refund request. It's only been nearly a month. #greataftercare,billing_refund,billing_refund,False
